"Date & Time","use [kWh]","gen [kWh]","Grid [kWh]","PV Array 1 [kWh]","PV Array 1+ [kWh]","PV  Array 2 [kWh]","PV  Array 2+ [kWh]","Fans + Halls? [kWh]","East front hall [kWh]","West front hall [kWh]","Recept East [kWh]","Recept West [kWh]","12kBtu Air Conditioning [kWh]"
2015-08-05 00:11:00,-78171537.611712503,-78172391.877835560,854.266123056,3826.618673333,3887.169417778,-78176218.496508884,10314.887694444,1615.795955000,529.528419444,177.210079167,8.713996667,66.278761389,861.619190833
2015-08-05 00:10:00,-78171537.617110837,-78172391.877677774,854.260566944,3826.618761667,3887.169417778,-78176218.496439445,10314.887694444,1615.794372222,529.528279444,177.209942222,8.713996667,66.278761111,861.619189722
2015-08-05 00:09:00,-78171537.622515273,-78172391.877521110,854.255005833,3826.618849167,3887.169417778,-78176218.496370268,10314.887694444,1615.792787222,529.528140000,177.209804722,8.713996389,66.278761111,861.619188611
2015-08-05 00:08:00,-78171537.627921391,-78172391.877364707,854.249443333,3826.618936111,3887.169417778,-78176218.496300828,10314.887694444,1615.791201944,529.528000556,177.209666944,8.713996389,66.278761111,861.619187500
2015-08-05 00:07:00,-78171537.633324718,-78172391.877208054,854.243883333,3826.619023333,3887.169417778,-78176218.496231377,10314.887694444,1615.789618333,529.527860833,177.209529722,8.713996389,66.278761111,861.619186389
2015-08-05 00:06:00,-78171537.638731658,-78172391.877051377,854.238319722,3826.619110833,3887.169417778,-78176218.496162224,10314.887694444,1615.788035556,529.527720556,177.209392222,8.713996111,66.278760833,861.619185000
2015-08-05 00:05:00,-78171537.644136930,-78172391.876894450,854.232757500,3826.619198333,3887.169417778,-78176218.496092772,10314.887694444,1615.786451944,529.527580278,177.209255000,8.713996111,66.278760833,861.619183889
2015-08-05 00:04:00,-78171537.649538612,-78172391.876737773,854.227199167,3826.619285556,3887.169417778,-78176218.496023321,10314.887694444,1615.784870000,529.527440000,177.209117500,8.713995833,66.278760833,861.619182500
2015-08-05 00:03:00,-78171537.654951382,-78172391.876580834,854.221629444,3826.619373333,3887.169417778,-78176218.495954156,10314.887694444,1615.783284444,529.527300278,177.208980000,8.713995833,66.278760556,861.619181389
2015-08-05 00:02:00,-78171537.660412490,-78172391.876423049,854.216010556,3826.619461944,3887.169417778,-78176218.495885003,10314.887694444,1615.781700556,529.527160278,177.208842500,8.713995556,66.278760556,861.619180278
2015-08-05 00:01:00,-78171537.665978611,-78172391.876264441,854.210285833,3826.619551111,3887.169417778,-78176218.495815539,10314.887694444,1615.780118056,529.527020000,177.208705556,8.713995556,66.278760556,861.619178889
